"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","订单","4","0","撤单","0"
"0","","0","错误处理","2","0","非法数量","0"
"0","","0","仓位","2","0","开仓","0"
"0","","0","错误处理","2","0","非法价格","0"
"0","","0","账户","6","0","Clearinghouse 状态","0"
"0","","0","订单","2","0","查询订单","0"
"0","","0","并发","1","0","并发下单","0"
"0","","0","仓位","2","0","查询仓位","0"
"0","","0","账户","5","0","元数据","0"
"0","","0","错误处理","2","0","非法交易对","0"
"0","","0","订单","3","0","下单","0"
"0","","0","错误处理","1","0","订单类型边界","0"
"0","","0","错误处理","1","0","撤单错误","0"
"0","","0","仓位","1","0","平仓","0"
